,0
1093,0.9
1094,-0.09
1095,0.01
1096,1.01
1097,-0.3
1098,-0.19
1099,0.81
1100,-0.02
1101,-0.13
1102,0.31
1103,0.09
1104,0.21
1105,-0.08
1106,0.14
1107,-0.06
1108,-0.63
1109,0.21
1110,0.43
1111,-0.72
1112,0.23
1113,0.66
1114,-0.73
1115,0.3
1116,0.61
1117,-0.49
1118,0.06
1119,0.82
1120,-0.28
1121,-0.72
1122,0.97
1123,-0.26
1124,-1.19
1125,0.79
1126,-0.6
1127,-0.18
1128,0.19
1129,-0.13
1130,0.61
1131,-2.04
1132,0.5
1133,1.5
1134,-0.08
1135,-0.66
1136,0.12
1137,0.08
1138,-1.38
1139,-0.26
1140,0.01
1141,-1.65
1142,0.0
1143,-0.24
1144,-1.42
1145,0.16
1146,-0.39
1147,-1.06
1148,0.0
1149,-0.6
1150,-0.74
1151,0.14
1152,0.07
1153,-0.55
1154,0.31
1155,0.85
1156,-0.59
1157,-0.03
1158,0.74
1159,-0.89
1160,-0.39
1161,0.18
1162,-0.75
1163,-0.14
1164,0.08
1165,-0.63
1166,-0.09
1167,-0.13
1168,-0.48
1169,-0.3
1170,-0.41
1171,-0.26
1172,-0.68
1173,-0.27
1174,0.24
1175,-0.73
1176,-0.21
1177,0.85
1178,-0.58
1179,-0.23
1180,1.25
1181,-0.04
1182,0.16
1183,1.47
1184,0.37
1185,0.69
1186,2.0
1187,0.77
1188,0.33
1189,3.17
1190,1.19
1191,1.57
1192,3.02
1193,0.43
1194,0.81
1195,2.48
1196,0.51
1197,-0.17
1198,1.73
1199,0.37
1200,0.18
1201,1.29
1202,0.26
1203,0.41
1204,1.23
1205,0.1
1206,0.25
1207,1.01
1208,0.19
1209,0.07
1210,0.65
1211,0.18
1212,0.01
1213,0.49
1214,0.21
1215,0.17
1216,0.52
1217,0.19
1218,0.17
1219,0.7
1220,-0.27
1221,0.85
1222,1.01
1223,-0.22
1224,2.19
1225,1.37
1226,-0.84
1227,1.69
1228,1.19
1229,-1.39
1230,1.48
1231,0.72
1232,-1.47
1233,0.85
1234,0.04
1235,-0.98
1236,1.55
1237,0.4
1238,-0.05
1239,0.71
1240,1.02
1241,-0.0
1242,-0.48
1243,0.43
1244,-0.15
1245,-0.48
1246,0.19
1247,0.04
1248,-0.5
1249,0.05
1250,-0.02
1251,-1.1
1252,-0.39
1253,-0.11
1254,-0.8
1255,-0.96
1256,0.11
1257,-0.08
1258,-1.41
1259,-0.2
1260,-0.06
1261,-1.74
1262,-0.11
1263,-0.73
1264,-1.74
1265,-0.63
1266,-1.09
1267,-1.65
1268,-0.96
1269,-1.03
1270,-0.86
1271,-0.58
1272,-0.73
1273,-0.12
1274,-0.28
1275,-0.56
1276,0.31
1277,-0.17
1278,-0.99
1279,1.12
1280,-0.01
1281,-0.53
1282,1.95
1283,1.26
1284,-0.26
1285,3.51
1286,0.94
1287,2.55
1288,2.86
1289,-0.04
1290,0.83
1291,1.69
1292,0.65
1293,-3.61
1294,1.14
1295,0.79
1296,-0.55
1297,0.76
1298,0.28
1299,-0.18
1300,1.09
1301,0.21
1302,-0.86
1303,0.96
1304,0.25
1305,0.1
1306,0.72
1307,0.47
1308,0.15
1309,0.53
1310,0.46
1311,-0.08
1312,0.63
1313,0.36
1314,-0.1
1315,0.8
1316,0.76
1317,0.05
1318,1.22
1319,0.31
1320,0.17
1321,1.78
1322,-0.56
1323,0.78
1324,1.02
1325,-1.34
1326,0.55
1327,0.01
1328,-1.79
1329,-0.08
1330,-0.65
1331,-1.22
1332,0.8
1333,-0.47
1334,-0.66
1335,0.57
1336,-0.59
1337,0.15
1338,-0.04
1339,-0.42
1340,0.21
1341,-0.06
1342,-0.57
1343,-0.2
1344,0.65
1345,-0.39
1346,-0.84
1347,1.08
1348,-0.53
1349,-1.96
1350,0.69
1351,-1.06
1352,-2.37
1353,-0.21
1354,-1.3
1355,-3.18
1356,1.7
1357,-1.44
1358,-0.08
1359,2.13
1360,-0.68
1361,-0.36
1362,0.4
1363,-0.23
1364,-1.75
1365,-2.87
1366,-0.52
1367,-0.77
1368,-3.01
1369,0.8
1370,-0.52
1371,2.17
1372,0.47
1373,-0.62
1374,-2.3
1375,-0.23
1376,-0.68
1377,-0.94
1378,2.13
1379,-0.29
1380,2.35
1381,2.59
1382,0.31
1383,1.07
1384,1.57
1385,0.55
1386,-0.1
1387,2.17
1388,-0.71
1389,0.29
1390,3.0
1391,0.05
1392,0.28
1393,2.09
1394,-0.69
1395,1.91
1396,2.88
1397,-0.67
1398,0.59
1399,1.71
1400,-1.02
1401,-0.16
1402,0.32
1403,-1.25
1404,0.48
1405,-0.44
1406,-0.86
1407,0.48
1408,-0.38
1409,-0.46
1410,0.7
1411,-0.5
1412,-0.28
1413,0.05
1414,-0.44
1415,-0.18
1416,0.01
1417,-0.04
1418,0.19
1419,-0.09
1420,-0.07
1421,-0.94
1422,-1.25
1423,-0.71
1424,-0.5
1425,0.83
1426,-1.57
1427,-0.79
1428,0.43
1429,-1.14
1430,-1.79
1431,-2.17
1432,-1.31
1433,-0.96
1434,-1.51
1435,0.13
1436,-0.27
1437,-0.56
1438,0.91
1439,-0.26
1440,-0.72
1441,0.59
1442,-0.44
1443,-0.5
1444,1.16
1445,-0.45
1446,-0.24
1447,1.89
1448,0.62
1449,0.24
1450,4.97
1451,-0.15
1452,2.11
1453,3.72
1454,-0.29
1455,-0.83
1456,0.73
1457,-0.03
1458,1.47
1459,2.68
1460,-0.52
1461,0.89
1462,1.63
1463,-0.51
1464,0.52
1465,0.99
1466,-0.45
1467,-0.08
1468,0.61
1469,-0.88
1470,0.39
1471,-0.2
1472,-0.83
1473,0.45
1474,-0.13
1475,-0.59
1476,0.48
1477,0.0
1478,-0.55
1479,0.45
1480,0.0
1481,-0.66
1482,0.32
1483,-0.04
1484,-0.77
1485,0.4
1486,-0.39
1487,-0.53
1488,0.55
1489,-0.31
1490,0.11
1491,0.4
1492,-0.23
1493,0.27
1494,0.15
1495,-0.27
1496,-0.31
1497,-0.45
1498,-0.58
1499,-0.56
1500,-0.51
1501,-0.53
1502,-0.45
1503,-0.67
1504,-0.76
1505,-0.42
1506,-0.8
1507,-0.49
1508,-0.53
1509,-0.87
1510,0.81
1511,0.56
1512,0.5
1513,8.0
1514,-3.44
1515,3.78
1516,0.71
1517,-0.23
1518,0.59
1519,1.1
1520,-0.11
1521,0.9
1522,1.52
1523,-0.08
1524,-0.65
1525,-0.08
1526,0.1
1527,0.63
1528,0.53
1529,-0.01
1530,0.45
1531,0.71
1532,-0.07
1533,0.42
1534,0.52
1535,-0.14
1536,0.38
1537,0.54
1538,-0.18
1539,0.3
1540,0.53
1541,-0.21
1542,0.31
1543,0.68
1544,-0.48
1545,0.61
1546,1.17
1547,-1.23
1548,0.89
1549,1.63
1550,-2.03
